userName,score,content,at,thumbsUpCount
Ayoub Temmali,2,"app is not optimized for Android at all, it's laggy and the return gestures don't work (you have to use the back button on the top left like in IOS)",2026-03-05 13:09:03,0
MD hosen Mia,4,good,2026-03-05 12:50:29,0
RIMAL SABU,5,good,2026-03-05 12:47:57,0
nadzma Misuari,5,I've always used noon because no hassle and the delivery is so good so I gave 💯.,2026-03-05 12:35:26,0
Nari Al Amin,5,very nice,2026-03-05 11:37:20,0
Kabaiku Elizabeth,1,"takes time to send code, then when it comes payment time out",2026-03-05 11:31:04,0
Abdul Majeed,5,Very good,2026-03-05 11:27:18,0
Pro empra,1,good,2026-03-05 11:01:19,0
Arun Das,5,very good,2026-03-05 10:58:01,0
Yasir ALMUALLIM,1,I think noon is good if you are too lazy to go shopping or buy food but not worth spending money for a subscription as there are no benefit prices are high compared to outside and always delivery are delayed and there is always a side fees such as service fees and other rubbishy things and most promo is fake it says 50% but the price is already double what it supposed to be and even the 50% you don't get it,2026-03-05 10:36:33,0
Asrin Asrin,3,👍 👍👍,2026-03-05 09:50:16,0
Mamunur Rashid,5,good,2026-03-05 09:46:47,0
Hef Zow Rahman,4,good 👍 noon,2026-03-05 08:46:34,0
Nishad K T,5,great,2026-03-05 07:42:53,0
Sadam Hussain,5,ممتاز,2026-03-05 06:54:13,0
Shahlom BD,5,Good,2026-03-05 05:33:07,0
Mohammad Mahadi,4,good,2026-03-05 05:29:02,0
Alamin Miya 2288,5,👍👍👍👍,2026-03-05 05:23:57,0
Waqasahmad Waqasahmad,5,good,2026-03-05 04:41:21,0
hossainAkib,3,good 👍,2026-03-05 04:40:21,0
Wajid Mughal,5,very nice service,2026-03-05 03:33:38,0
Adil khan Mardan,5,good,2026-03-05 02:00:34,0
Nayum Ali,5,best,2026-03-05 01:11:43,0
link2islam,5,سهل,2026-03-05 00:43:31,0
Shabeer,5,good,2026-03-05 00:16:43,0
md remonkhan,5,good,2026-03-04 22:53:37,0
mohammad sujon,5,Good,2026-03-04 22:30:31,0
Attique awan,5,Good,2026-03-04 22:06:43,0
Muhammed Umar Maroof Khan,5,quick ordering easy,2026-03-04 21:55:03,0
Israr Rain,4,nice,2026-03-04 21:03:31,0
Rakib Sikder,5,good survice,2026-03-04 20:45:32,0
md anwar,5,good,2026-03-04 20:32:01,0
Mohamad Faiyaz ahmad,5,very good,2026-03-04 20:31:33,0
jamsheer,5,good,2026-03-04 20:05:07,0
Leen Khawaga,5,very good,2026-03-04 20:02:31,0
okoth willy,5,excellent 👍,2026-03-04 19:50:45,0
Md Babo,5,nice,2026-03-04 19:18:15,0
Mani Kanta,2,so good,2026-03-04 19:05:55,0
Creed Apollo Nelmida,5,impressive service.,2026-03-04 18:45:39,0
syed Ali,5,very good 👍,2026-03-04 18:13:14,0
